sweep_param,param_value,mode,human,success_rate,mean_reward,std_reward,train_seconds
w0,0.7,naive,Realistic,0.0,-17.02557349873745,0.7780215358738731,39.15
w0,0.7,bayesian,StochasticLow,1.0,1.615225129078238,0.17248617337226857,39.46
w0,0.7,bayesian,StochasticHigh,0.0,10.969000000000023,0.949809980996203,37.77
w0,0.7,bayesian,Adversarial,1.0,0.9358437058803144,0.029195757298217193,32.93
w0,0.7,bayesian,DistanceNoise,1.0,1.4446119292179471,0.13383819457020346,21.82
w0,0.7,bayesian,Fatigue,1.0,1.8494319977659146,0.018704535844113294,33.17
w0,0.7,bayesian,Realistic,1.0,1.2918576068381695,0.19075034333059848,36.33
w0,0.9,sparse,StochasticLow,0.0,0.0,0.0,38.26
w0,0.9,sparse,StochasticHigh,0.0,0.0,0.0,37.78
w0,0.9,sparse,Adversarial,0.0,0.0,0.0,35.95
w0,0.9,sparse,DistanceNoise,1.0,0.9578124999999998,1.1102230246251565e-16,36.13
w0,0.9,sparse,Fatigue,1.0,0.9578124999999998,1.1102230246251565e-16,38.08
w0,0.9,sparse,Realistic,1.0,0.9578124999999998,1.1102230246251565e-16,34.14
w0,0.9,naive,StochasticLow,1.0,1.6378125000000001,0.23151673805580447,33.7
w0,0.9,naive,StochasticHigh,0.0,15.669999999999964,1.356871401423142,34.85
w0,0.9,naive,Adversarial,0.0,25.60000000000009,3.552713678800501e-15,34.38
w0,0.9,naive,DistanceNoise,0.0,-16.92844178081633,0.5998959600595362,33.92
w0,0.9,naive,Fatigue,0.0,-23.47418725971022,0.7638258114617865,34.47
w0,0.9,naive,Realistic,0.0,-17.02557349873745,0.7780215358738731,35.16
w0,0.9,bayesian,StochasticLow,1.0,1.6218638100591771,0.17399945896510127,32.84
w0,0.9,bayesian,StochasticHigh,0.0,14.102999999999986,1.2211842612808255,33.94
w0,0.9,bayesian,Adversarial,0.0,23.03999999999997,0.0,32.82
w0,0.9,bayesian,DistanceNoise,0.0,-10.30506018824482,1.0017687490455636,34.3
w0,0.9,bayesian,Fatigue,1.0,1.857362749255305,0.006234845281371097,34.91
w0,0.9,bayesian,Realistic,1.0,1.3604048609593489,0.11224311685898514,33.12
