human,sparse,naive,bayesian
Adversarial,0.0,0.0,0.0
DistanceNoise,0.3333333333333333,0.3333333333333333,0.3333333333333333
Fatigue,0.3333333333333333,0.3333333333333333,0.6666666666666666
Realistic,0.3333333333333333,0.6666666666666666,1.0
StochasticHigh,0.0,0.0,0.0
StochasticLow,0.0,0.6666666666666666,0.6666666666666666
