sweep_param,param_value,mode,human,success_rate,mean_reward,std_reward,train_seconds
N0,10,bayesian,Adversarial,1.0,0.8993838163044133,0.05556343839472963,34.86
N0,10,bayesian,DistanceNoise,1.0,1.335165697869108,0.1492193878950773,34.62
N0,10,bayesian,Fatigue,1.0,1.7939050921615536,0.06637920900402146,34.0
N0,10,bayesian,Realistic,1.0,1.4429126913034662,0.13284008181834364,33.89
N0,20,sparse,StochasticLow,0.0,0.0,0.0,34.12
N0,20,sparse,StochasticHigh,0.0,0.0,0.0,28.83
N0,20,sparse,Adversarial,0.0,0.0,0.0,19.6
N0,20,sparse,DistanceNoise,1.0,0.9578124999999998,1.1102230246251565e-16,20.11
N0,20,sparse,Fatigue,1.0,0.9578124999999998,1.1102230246251565e-16,20.07
N0,20,sparse,Realistic,1.0,0.9578124999999998,1.1102230246251565e-16,20.32
N0,20,naive,StochasticLow,1.0,1.6378125000000001,0.23151673805580447,20.22
N0,20,naive,StochasticHigh,0.0,15.669999999999964,1.356871401423142,20.3
N0,20,naive,Adversarial,0.0,25.60000000000009,3.552713678800501e-15,19.82
N0,20,naive,DistanceNoise,0.0,-16.92844178081633,0.5998959600595362,23.71
N0,20,naive,Fatigue,0.0,-23.47418725971022,0.7638258114617865,32.82
N0,20,naive,Realistic,0.0,-17.02557349873745,0.7780215358738731,44100.52
N0,20,bayesian,StochasticLow,1.0,1.5478219374265445,0.16045540946878342,32.78
N0,20,bayesian,StochasticHigh,0.0,7.834999999999982,0.678435700711571,32.77
N0,20,bayesian,Adversarial,1.0,0.8642104248915142,0.06860368917892976,37.59
N0,20,bayesian,DistanceNoise,1.0,1.3235318936354892,0.14569530720392973,39.47
N0,20,bayesian,Fatigue,1.0,1.7544992563677009,0.0797279394158127,28.97
N0,20,bayesian,Realistic,1.0,1.4054007351623454,0.1239378131865334,37.76
