agent,env_id,mode,human,seed,success_rate,mean_reward,std_reward,train_seconds
PPO,MiniGrid-Empty-8x8-v0,naive,DistanceNoise,789,1.0,1.5498037882769353,0.1966250509897372,19633.3
PPO,MiniGrid-Empty-8x8-v0,naive,DistanceNoise,999,1.0,1.517648652455229,0.19494136835350703,433.01
PPO,MiniGrid-Empty-8x8-v0,naive,Fatigue,42,1.0,1.754074866071744,0.027863559545856228,284.43
PPO,MiniGrid-Empty-8x8-v0,naive,Fatigue,123,1.0,1.86109211869556,0.023613345539453556,318.51
PPO,MiniGrid-Empty-8x8-v0,naive,Fatigue,456,1.0,1.7508445963372425,0.029256198227173628,296.68
PPO,MiniGrid-Empty-8x8-v0,naive,Fatigue,789,1.0,1.8564673880812534,0.02645326748976276,283.6
PPO,MiniGrid-Empty-8x8-v0,naive,Fatigue,999,1.0,1.8519080305579048,0.039507480045731076,287.78
PPO,MiniGrid-Empty-8x8-v0,naive,Realistic,42,1.0,1.5096596719620892,0.16236336844991375,309.15
PPO,MiniGrid-Empty-8x8-v0,naive,Realistic,123,1.0,1.5770190704031344,0.1666637485836886,263.93
PPO,MiniGrid-Empty-8x8-v0,naive,Realistic,456,1.0,1.5465160117355108,0.14556107276912966,278.21
PPO,MiniGrid-Empty-8x8-v0,naive,Realistic,789,1.0,1.529386239452492,0.17764099818154838,289.97
PPO,MiniGrid-Empty-8x8-v0,naive,Realistic,999,1.0,1.5608490488279696,0.17257777302452168,238.16
PPO,MiniGrid-Empty-8x8-v0,ema,StochasticLow,42,1.0,1.542823431477581,0.17745828221279433,128.5
PPO,MiniGrid-Empty-8x8-v0,ema,StochasticLow,123,1.0,1.4979679602973952,0.17707607781125503,115.16
PPO,MiniGrid-Empty-8x8-v0,ema,StochasticLow,456,1.0,1.5644504687729637,0.1715402588690128,131.45
PPO,MiniGrid-Empty-8x8-v0,ema,StochasticLow,789,1.0,1.5264957537556134,0.17814689591529248,134.05
PPO,MiniGrid-Empty-8x8-v0,ema,StochasticLow,999,1.0,1.5530037253146198,0.15394556579672652,135.03
PPO,MiniGrid-Empty-8x8-v0,ema,StochasticHigh,42,0.0,7.647999999999983,0.6708919436094026,139.67
PPO,MiniGrid-Empty-8x8-v0,ema,StochasticHigh,123,0.0,7.777999999999983,0.671800565644301,138.59
PPO,MiniGrid-Empty-8x8-v0,ema,StochasticHigh,456,0.0,7.709999999999983,0.6350590523722983,131.78
PPO,MiniGrid-Empty-8x8-v0,ema,StochasticHigh,789,0.0,7.6579999999999835,0.6983093870198231,130.21
PPO,MiniGrid-Empty-8x8-v0,ema,StochasticHigh,999,0.0,7.675999999999983,0.6662011708185461,122.5
PPO,MiniGrid-Empty-8x8-v0,ema,Adversarial,42,1.0,0.8934808317118953,0.0711928436703819,116.31
PPO,MiniGrid-Empty-8x8-v0,ema,Adversarial,123,1.0,0.8728589844127325,0.10991838949262762,117.57
PPO,MiniGrid-Empty-8x8-v0,ema,Adversarial,456,0.0,4.384645675237962,3.030207327056638,114.31
PPO,MiniGrid-Empty-8x8-v0,ema,Adversarial,789,1.0,0.8797329335124534,0.09700987421854573,6878.01
PPO,MiniGrid-Empty-8x8-v0,ema,Adversarial,999,1.0,0.8728589844127325,0.10991838949262762,174.58
PPO,MiniGrid-Empty-8x8-v0,ema,DistanceNoise,42,1.0,1.3259267479523296,0.13684226078379663,42932.0
PPO,MiniGrid-Empty-8x8-v0,ema,DistanceNoise,123,1.0,1.3857136943018389,0.1343143133926426,186.3
PPO,MiniGrid-Empty-8x8-v0,ema,DistanceNoise,456,1.0,1.3791254504515942,0.14228365223360576,128.92
PPO,MiniGrid-Empty-8x8-v0,ema,DistanceNoise,789,1.0,1.4204964110360936,0.16391365271175648,133.98
PPO,MiniGrid-Empty-8x8-v0,ema,DistanceNoise,999,1.0,1.3638993898057197,0.14953828872960348,128.87
PPO,MiniGrid-Empty-8x8-v0,ema,Fatigue,42,1.0,1.7660392579092778,0.11231776739728498,129.47
PPO,MiniGrid-Empty-8x8-v0,ema,Fatigue,123,1.0,1.7716338147391,0.11142973357324334,132.32
PPO,MiniGrid-Empty-8x8-v0,ema,Fatigue,456,1.0,1.6722135440238608,0.09665549383498756,128.16
PPO,MiniGrid-Empty-8x8-v0,ema,Fatigue,789,1.0,1.7665685038119592,0.10932036404306919,208.99
PPO,MiniGrid-Empty-8x8-v0,ema,Fatigue,999,1.0,1.761657769080731,0.10886626339977354,221.77
PPO,MiniGrid-Empty-8x8-v0,ema,Realistic,42,1.0,1.383457302389761,0.1435548050836827,221.48
PPO,MiniGrid-Empty-8x8-v0,ema,Realistic,123,1.0,1.4292612059901382,0.14183444503822631,218.96
PPO,MiniGrid-Empty-8x8-v0,ema,Realistic,456,1.0,1.3580061821016924,0.14926147435601556,213.89
PPO,MiniGrid-Empty-8x8-v0,ema,Realistic,789,1.0,1.4049976707958558,0.15534884401784999,215.14
PPO,MiniGrid-Empty-8x8-v0,ema,Realistic,999,1.0,1.3906112584869037,0.1591321354635709,215.46
PPO,MiniGrid-Empty-8x8-v0,bayesian,StochasticLow,42,1.0,1.590978942646957,0.1713850512656117,217.68
PPO,MiniGrid-Empty-8x8-v0,bayesian,StochasticLow,123,1.0,1.5507229440040888,0.18975983242293104,214.2
PPO,MiniGrid-Empty-8x8-v0,bayesian,StochasticLow,456,1.0,1.5511545164087521,0.1849885587757004,212.39
PPO,MiniGrid-Empty-8x8-v0,bayesian,StochasticLow,789,1.0,1.6303924110384953,0.16575770424640457,217.42
PPO,MiniGrid-Empty-8x8-v0,bayesian,StochasticLow,999,1.0,1.614756337617828,0.16107815227758918,211.06
PPO,MiniGrid-Empty-8x8-v0,bayesian,StochasticHigh,42,0.0,7.647999999999983,0.6708919436094026,215.89
PPO,MiniGrid-Empty-8x8-v0,bayesian,StochasticHigh,123,0.0,7.777999999999983,0.671800565644301,233.38
PPO,MiniGrid-Empty-8x8-v0,bayesian,StochasticHigh,456,0.0,7.709999999999983,0.6350590523722983,233.43
PPO,MiniGrid-Empty-8x8-v0,bayesian,StochasticHigh,789,0.0,7.6579999999999835,0.6983093870198231,223.22
PPO,MiniGrid-Empty-8x8-v0,bayesian,StochasticHigh,999,0.0,7.675999999999983,0.6662011708185461,228.69
PPO,MiniGrid-Empty-8x8-v0,bayesian,Adversarial,42,1.0,0.9500851004223775,0.014713733713559092,223.08
PPO,MiniGrid-Empty-8x8-v0,bayesian,Adversarial,123,0.0,0.21963559191317367,0.3396564832441885,226.9
PPO,MiniGrid-Empty-8x8-v0,bayesian,Adversarial,456,1.0,0.9467318751011699,0.0050687161402390565,224.32
PPO,MiniGrid-Empty-8x8-v0,bayesian,Adversarial,789,0.0,0.3915056052397172,0.5718655843559534,221.92
PPO,MiniGrid-Empty-8x8-v0,bayesian,Adversarial,999,1.0,0.9517617130829812,0.0214297139934376,214.15
PPO,MiniGrid-Empty-8x8-v0,bayesian,DistanceNoise,42,1.0,1.435648284409134,0.13616122055039986,135.96
PPO,MiniGrid-Empty-8x8-v0,bayesian,DistanceNoise,123,1.0,1.4159664739078937,0.18537452486437797,111.3
PPO,MiniGrid-Empty-8x8-v0,bayesian,DistanceNoise,456,1.0,1.3791578573425232,0.1574141646756485,103.8
PPO,MiniGrid-Empty-8x8-v0,bayesian,DistanceNoise,789,1.0,1.464443067672885,0.1345881994425388,103.02
PPO,MiniGrid-Empty-8x8-v0,bayesian,DistanceNoise,999,1.0,1.4107748019408004,0.15995834514399507,105.12
PPO,MiniGrid-Empty-8x8-v0,bayesian,Fatigue,42,1.0,1.8458116228777797,0.04487647239875564,109.19
PPO,MiniGrid-Empty-8x8-v0,bayesian,Fatigue,123,1.0,1.8512095617898445,0.0315666239984827,123.76
PPO,MiniGrid-Empty-8x8-v0,bayesian,Fatigue,456,1.0,1.7429261485107728,0.03152361162370833,129.35
PPO,MiniGrid-Empty-8x8-v0,bayesian,Fatigue,789,1.0,1.7441547249106575,0.02913373165883521,118.56
PPO,MiniGrid-Empty-8x8-v0,bayesian,Fatigue,999,1.0,1.8417078413685517,0.043379357662328616,114.85
PPO,MiniGrid-Empty-8x8-v0,bayesian,Realistic,42,1.0,1.4292364795042942,0.16389477586261544,134.8
PPO,MiniGrid-Empty-8x8-v0,bayesian,Realistic,123,1.0,1.4257541957149786,0.156348508765057,133.85
PPO,MiniGrid-Empty-8x8-v0,bayesian,Realistic,456,1.0,1.4342379114303452,0.13516457218533148,113.88
PPO,MiniGrid-Empty-8x8-v0,bayesian,Realistic,789,1.0,1.4746290558255706,0.16828753297365098,99.72
PPO,MiniGrid-Empty-8x8-v0,bayesian,Realistic,999,1.0,1.4936906483970296,0.17279339116982215,120.97
PPO,MiniGrid-LavaGapS7-v0,sparse,StochasticLow,42,0.94,0.889765306122449,0.22496858520105334,123.0
PPO,MiniGrid-LavaGapS7-v0,sparse,StochasticLow,123,0.0,0.0,0.0,126.95
PPO,MiniGrid-LavaGapS7-v0,sparse,StochasticLow,456,0.18,0.17155102040816325,0.3661550613418752,125.95
PPO,MiniGrid-LavaGapS7-v0,sparse,StochasticLow,789,0.38,0.3571326530612245,0.4562150352317555,118.28
PPO,MiniGrid-LavaGapS7-v0,sparse,StochasticLow,999,0.0,0.0,0.0,125.08
PPO,MiniGrid-LavaGapS7-v0,sparse,StochasticHigh,42,0.82,0.7767448979591838,0.3641429161896174,127.45
PPO,MiniGrid-LavaGapS7-v0,sparse,StochasticHigh,123,0.0,0.0,0.0,128.43
PPO,MiniGrid-LavaGapS7-v0,sparse,StochasticHigh,456,0.18,0.17164285714285715,0.3663506911764296,126.63
PPO,MiniGrid-LavaGapS7-v0,sparse,StochasticHigh,789,0.38,0.35676530612244894,0.45574322008457924,127.98
PPO,MiniGrid-LavaGapS7-v0,sparse,StochasticHigh,999,0.0,0.0,0.0,127.38
PPO,MiniGrid-LavaGapS7-v0,sparse,Adversarial,42,0.94,0.8950918367346938,0.22617019245659167,127.14
PPO,MiniGrid-LavaGapS7-v0,sparse,Adversarial,123,0.0,0.0,0.0,129.08
PPO,MiniGrid-LavaGapS7-v0,sparse,Adversarial,456,0.06,0.05696938775510204,0.22549133289773024,129.02
PPO,MiniGrid-LavaGapS7-v0,sparse,Adversarial,789,0.22,0.21026530612244898,0.3959178366291415,126.37
PPO,MiniGrid-LavaGapS7-v0,sparse,Adversarial,999,0.0,0.0,0.0,115.4
PPO,MiniGrid-LavaGapS7-v0,sparse,DistanceNoise,42,0.96,0.9101326530612246,0.186016322287681,127.45
PPO,MiniGrid-LavaGapS7-v0,sparse,DistanceNoise,123,0.0,0.0,0.0,130.13
PPO,MiniGrid-LavaGapS7-v0,sparse,DistanceNoise,456,0.14,0.13357142857142856,0.3310539534828395,117.15
PPO,MiniGrid-LavaGapS7-v0,sparse,DistanceNoise,789,0.14,0.13320408163265307,0.3301471413533266,110.86
PPO,MiniGrid-LavaGapS7-v0,sparse,DistanceNoise,999,0.0,0.0,0.0,123.97
PPO,MiniGrid-LavaGapS7-v0,sparse,Fatigue,42,1.0,0.9525204081632652,0.0037428398949149685,132.54
PPO,MiniGrid-LavaGapS7-v0,sparse,Fatigue,123,0.82,0.7782142857142857,0.36463748878839136,123.17
PPO,MiniGrid-LavaGapS7-v0,sparse,Fatigue,456,0.0,0.0,0.0,124.53
PPO,MiniGrid-LavaGapS7-v0,sparse,Fatigue,789,0.04,0.03816326530612245,0.18696105383692013,191.24
PPO,MiniGrid-LavaGapS7-v0,sparse,Fatigue,999,0.0,0.0,0.0,200.57
PPO,MiniGrid-LavaGapS7-v0,sparse,Realistic,42,0.58,0.5495102040816328,0.4676512239072948,212.7
PPO,MiniGrid-LavaGapS7-v0,sparse,Realistic,123,0.0,0.0,0.0,215.86
PPO,MiniGrid-LavaGapS7-v0,sparse,Realistic,456,0.78,0.7369285714285715,0.39142718671947624,215.03
PPO,MiniGrid-LavaGapS7-v0,sparse,Realistic,789,0.56,0.5329999999999999,0.472461590610548,213.94
PPO,MiniGrid-LavaGapS7-v0,sparse,Realistic,999,0.0,0.0,0.0,2323.98
PPO,MiniGrid-LavaGapS7-v0,naive,StochasticLow,42,0.26,0.4080612244897959,0.5121957147703126,209.05
PPO,MiniGrid-LavaGapS7-v0,naive,StochasticLow,123,0.22,0.34090816326530615,0.5692137534035201,205.63
PPO,MiniGrid-LavaGapS7-v0,naive,StochasticLow,456,0.56,0.721826530612245,0.5462303827975995,211.55
PPO,MiniGrid-LavaGapS7-v0,naive,StochasticLow,789,0.26,0.41406122448979593,0.5261910505297889,178.11
PPO,MiniGrid-LavaGapS7-v0,naive,StochasticLow,999,0.2,0.30373469387755103,0.5390212936598536,180.89
PPO,MiniGrid-LavaGapS7-v0,naive,StochasticHigh,42,0.0,11.78399999999997,1.1446152191893968,128.04
PPO,MiniGrid-LavaGapS7-v0,naive,StochasticHigh,123,0.0,11.923999999999973,1.0858287157742659,192.58
PPO,MiniGrid-LavaGapS7-v0,naive,StochasticHigh,456,0.0,11.815999999999974,0.9772123617719912,175.32
PPO,MiniGrid-LavaGapS7-v0,naive,StochasticHigh,789,0.0,11.755999999999974,1.258119231233665,216.6
PPO,MiniGrid-LavaGapS7-v0,naive,StochasticHigh,999,0.0,11.743999999999973,1.2073375667144586,208.78
PPO,MiniGrid-LavaGapS7-v0,naive,Adversarial,42,0.0,19.60000000000001,0.0,204.19
